"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44280","navigating to gray jacket","firefox","Sun Aug 24 16:50:27 IST 2025","passed","Sun Aug 24 16:51:11 IST 2025","navigation catalog tests","navigationCatalogtest.spec.js","",""
"","19171","is the grey shirt added to the cart","webkit","Sun Aug 24 16:52:17 IST 2025","passed","Sun Aug 24 16:52:36 IST 2025","","cartTest.spec.js","",""
"","5230","Login page heading is visible","firefox","Sun Aug 24 16:48:38 IST 2025","passed","Sun Aug 24 16:48:43 IST 2025","","forgotPassword.spec.js","",""
"","6179","aboutus","firefox","Sun Aug 24 16:48:37 IST 2025","passed","Sun Aug 24 16:48:43 IST 2025","About us page","footerTest.spec.js","",""
"","12347","is the cart empty message visible","chromium","Sun Aug 24 16:44:08 IST 2025","passed","Sun Aug 24 16:44:20 IST 2025","","cartTest.spec.js","",""
"","11906","Forgot password cancel navigation","webkit","Sun Aug 24 16:54:06 IST 2025","passed","Sun Aug 24 16:54:17 IST 2025","","forgotPassword.spec.js","",""
"","41208","Verify Sellonline link redirects correctly","webkit","Sun Aug 24 16:50:40 IST 2025","passed","Sun Aug 24 16:51:22 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","15637","Verify first post visible after opening blog content","chromium","Sun Aug 24 16:43:42 IST 2025","passed","Sun Aug 24 16:43:57 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","20404","check the cart count gets increase if added product","firefox","Sun Aug 24 16:47:55 IST 2025","passed","Sun Aug 24 16:48:15 IST 2025","","cartTest.spec.js","",""
"","7522","aboutus","chromium","Sun Aug 24 16:45:07 IST 2025","passed","Sun Aug 24 16:45:14 IST 2025","About us page","footerTest.spec.js","",""
"","27402","Verify hosting info link opens in new tab","firefox","Sun Aug 24 16:45:37 IST 2025","passed","Sun Aug 24 16:46:04 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","13024","Breadcrumb navigation from product -> frontpage -> home","chromium","Sun Aug 24 16:44:07 IST 2025","passed","Sun Aug 24 16:44:20 IST 2025","","breadcrumbNavToHome.spec.js","",""
